text,category
My package has not arrived yet.,shipping
Where can I track my order?,shipping
My shipment is stuck in transit.,shipping
The courier says delivered but I do not have it.,shipping
My delivery is late.,shipping
When will my package arrive?,shipping
My order has not been delivered.,shipping
The tracking information has not updated.,shipping
Can you tell me where my package is?,shipping
My parcel was supposed to arrive yesterday.,shipping
The delivery date has passed.,shipping
My package is missing.,shipping
Why is my shipment delayed?,shipping
The courier has not delivered my order.,shipping
My order is still in transit.,shipping
I have not received my delivery.,shipping
Can I get an update on my shipment?,shipping
The tracking number is not showing any updates.,shipping
My package was marked delivered but it is missing.,shipping
How long will shipping take?,shipping
Where is my parcel?,shipping
My order is taking too long to arrive.,shipping
The package has been delayed again.,shipping
I am still waiting for my delivery.,shipping
My shipment has not moved for days.,shipping
The tracking status has not changed.,shipping
My parcel has been in transit for too long.,shipping
Why has my delivery not arrived?,shipping
Can you check the status of my package?,shipping
My order was supposed to arrive today.,shipping
The courier has not shown up.,shipping
I cannot find my delivery.,shipping
My package appears to be lost.,shipping
The delivery is overdue.,shipping
I need an update about my order delivery.,shipping
My shipment is delayed.,shipping
The tracking page says my package is still in transit.,shipping
My package has been stuck since last week.,shipping
I am waiting for a package that should have arrived.,shipping
Can you tell me when my order will be delivered?,shipping
The courier has not delivered my parcel.,shipping
My delivery status has not changed.,shipping
My order has been shipped but has not arrived.,shipping
I have been waiting for my package all week.,shipping
The tracking number is not working.,shipping
Why is my package taking so long?,shipping
My parcel never arrived.,shipping
The delivery was marked complete but I received nothing.,shipping
I need help tracking my shipment.,shipping
Where is my order right now?,shipping
My delivery is overdue.,shipping
The package has disappeared during shipping.,shipping
My shipment has not updated since yesterday.,shipping
I expected my package already.,shipping
Can someone check my delivery status?,shipping
My order is still waiting to be delivered.,shipping
"The courier says my package was delivered, but it was not.",shipping
My parcel has been delayed for several days.,shipping
How can I find my missing package?,shipping
I forgot my password.,account
I cannot log into my account.,account
My account has been locked.,account
How do I change my email address?,account
I cannot access my account.,account
How can I reset my password?,account
I need to update my account details.,account
Why is my account locked?,account
I forgot my login details.,account
I am unable to sign in.,account
How do I change my account information?,account
My password reset is not working.,account
I cannot access my profile.,account
How do I update my phone number?,account
My login is not working.,account
I need help recovering my account.,account
How can I change my password?,account
My account access has been blocked.,account
I cannot remember my password.,account
I need to update my personal information.,account
I am locked out of my account.,account
My login credentials are not working.,account
How do I recover my account?,account
I need to reset my login.,account
I cannot sign into my profile.,account
My password is not being accepted.,account
How can I unlock my account?,account
I want to change my account email.,account
I need to update my profile.,account
My account is inaccessible.,account
I forgot the password I use to log in.,account
How do I change my phone number?,account
I cannot remember my login information.,account
My account was locked after several attempts.,account
I need help changing my password.,account
I cannot get into my account.,account
How can I update my personal details?,account
My sign-in is failing.,account
I need to recover my login.,account
